#STEPS          TOT_EN          EN_INTER        EN_TC           EN_INTRA(B)     EN_INTRA(NB)    EN_ELECT        EN_REAL         EN_RECIP        TOTAL_VIR       PRESSURE        TOT_MOL         TOT_DENS        
9900000          -1.51404291e+01  4.75975963e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.99001887e+01 -1.72055838e+01  5.46300298e+01 -1.21859439e-28 -1.03810726e-27  6.55700000e-02  7.26490032e-02
10000000         -1.72512759e+01  4.13295270e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.13842286e+01 -1.97665504e+01  6.00432412e+01 -2.76416909e-28 -1.04696521e-27  7.05300000e-02  7.81444898e-02
10100000         -1.68561971e+01  4.04264088e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.08988380e+01 -1.96919326e+01  6.00780862e+01 -9.85416715e-29 -1.04893014e-27  7.01000000e-02  7.76680666e-02
10200000         -8.40211196e+00  3.44737403e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.18494860e+01 -1.08997683e+01  5.48537204e+01 -5.48592586e-28 -1.06252664e-27  6.38300000e-02  7.07211511e-02
10300000         -2.13872138e+00  5.81792661e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -2.72051404e+00 -2.18691808e+00  5.39497232e+01 -2.88301076e-28 -1.06806450e-27  6.23200000e-02  6.90481299e-02
10400000         -9.14427545e+00  3.35808069e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.25023561e+01 -1.12269323e+01  5.88031014e+01 -3.79964065e-29 -1.07816276e-27  6.87200000e-02  7.61390804e-02
10500000         -5.22298757e+00  1.71146043e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.93444800e+00 -6.44577629e+00  5.37498572e+01 -8.40387179e-05  1.50950297e-05  6.20400000e-02  6.87379009e-02
10600000         -4.92524716e+00  1.33349677e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.25874393e+00 -5.51176397e+00  5.27484356e+01 -6.46343090e-30  1.50948788e+00  6.11900000e-02  6.77961340e-02
10700000         -3.65412004e+00  7.05957238e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.36007728e+00 -3.83040614e+00  5.16193980e+01 -7.56264934e-28 -1.10169506e-27  5.96500000e-02  6.60898741e-02
10800000         -5.16632451e+00  9.05961960e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00 -6.07228647e+00 -5.34397176e+00  5.59231468e+01 -7.48375102e-28 -1.10911282e-27  6.48000000e-02  7.17958732e-02
